Profile,Platform,Followers
PewDiePie,Youtube,111000000
Perxitaa ,Twitch,2170294
Paul Labile Pogba ,Instagram,55138512
Paris SaintGermain ,Instagram,61860116
PapoMC ,Twitch,1775388
Pink ,Twitter,31666168
OverwatchLeague ,Twitch,1767491
Others,Twitter,46979565
Others,Tiktok,23400000
Others,Instagram,130398630
Others,Youtube,99600000
Others,Youtube,38700000
Others,Tiktok,41200000
Others,Tiktok,44200000
Others,Tiktok,36200000
Oprah Winfrey ,Twitter,43289835
Oneya D Amelio ,Tiktok,26400000
One Direction ,Twitter,31142763
One Direction,Youtube,37400000
ondy mikula ,Tiktok,38800000
noah beck ,Tiktok,33400000
NJ ,Instagram,176935982
Nisha Guragain ,Tiktok,28100000
Ninja ,Twitch,18296006
Nike ,Instagram,233371786
Nihachu ,Twitch,2684804
NICKMERCS ,Twitch,6540633
Nicki Minaj ,Twitter,25647776
Niall Horan ,Twitter,41256634
Neymar Jr ,Twitter,57484730
netflixbrasil ,Twitter,21783674
Neha Kakkar (Mrs Singh) ,Instagram,70404564
NBA ,Instagram,69922564
National Geographic ,Instagram,236500488
National Geographic ,Twitter,28016531
NateHill ,Twitch,1640757
NASA ,Twitter,60698510
NASA ,Instagram,81215401
Narendra Modi ,Instagram,68816270
Narendra Modi ,Twitter,81398641
Naim Darrechi,Tiktok,28000000
MrKeroro10 ,Twitch,1359760
MrBeast ,Tiktok,37000000
MrBeast,Youtube,101000000
Mr Bean,Youtube,30700000
Movieclips,Youtube,57500000
MontanaBlack88 ,Twitch,3025471
Mongraal ,Twitch,5239020
Mohamed Salah ,Instagram,52422831
Mizkif ,Twitch,2081314
MissaSinfonia ,Twitch,3116086
miniminter ,Twitch,1778366
Millie Bobby Brown ,Instagram,57350069
Miley Cyrus ,Twitter,46816418
Miley Cyrus ,Instagram,180959274
Mikecrack,Youtube,33200000
Michelle Obama ,Twitter,22006755
Michael Le ,Tiktok,51400000
Mia K ,Tiktok,32900000
Mayichi ,Twitch,1411861
Masha and The Bear,Youtube,35100000
Marvel Entertainment ,Instagram,66083072
Marshmello,Youtube,55700000
Marshall Mathers ,Twitter,22766501
Maroon 5,Youtube,36000000
Markiplier,Youtube,33300000
MarkiLokurasY ,Twitch,1466343
Mariah Carey ,Twitter,21819632
Maria Clara and JP,Youtube,33100000
Marcelo Vieira ,Instagram,57970008
Manchester United ,Twitter,32211336
Manchester United ,Instagram,59520626
MALUMA ,Instagram,62858032
Malu Trevejo ,Tiktok,24300000
Luisito Comunica,Youtube,39200000
Luis Fonsi,Youtube,30900000
ludwig,Twitch,3136512
LUCCAS NETO  LUCCAS TOON,Youtube,37800000
Louis Tomlinson ,Twitter,36040239
LooLoo Kids  Nursery Rhymes and Childrens Songs,Youtube,49700000
loltyler1 ,Twitch,5033525
Locklear ,Twitch,1862400
lizzo ,Tiktok,23500000
Liza Koshy ,Tiktok,29700000
Little Baby Bum  Nursery Rhymes and Kids Songs,Youtube,39500000
LITkillah ,Twitch,2426822
LISA ,Instagram,80723426
LIRIK ,Twitch,2898083
lilypichu,Twitch,2459116
Lil Wayne WEEZY F ,Twitter,35027433
lil nas x ,Tiktok,28100000
Like Nastya,Youtube,99100000
Liam ,Twitter,34477634
Leonardo DiCaprio ,Instagram,54518260
Leo Messi ,Instagram,355790796
Lele Pons ,Tiktok,27200000
LeBron James ,Twitter,51947180
LARRAY ,Tiktok,25700000
Larissa Manoela ,Tiktok,25000000
landonorris ,Twitch,1303704
Lady Gaga ,Instagram,53211167
Lady Gaga ,Twitter,84876972
La Granja de Zenon,Youtube,31500000
Kylie Jenner ,Twitter,40175615
Kylie ,Instagram,364542529
Kylian MbappE ,Instagram,72705315
kyle thomas ,Tiktok,32200000
Kunno ,Tiktok,25900000
Kris HC ,Tiktok,44100000
Kourtney Kardashian ,Twitter,26740551
Kourtney Kardashian Barker ,Instagram,194512673
Kody Antle ,Tiktok,28600000
Kira Kosarin ,Tiktok,29200000
KingBach ,Tiktok,26600000
Kimberly Loaiza ,Tiktok,63400000
Kimberly Loaiza,Youtube,37200000
Kim Kardashian ,Twitter,73264301
Kim Kardashian ,Instagram,328323322
Kika Kim ,Tiktok,30600000
KhloE Kardashian ,Instagram,267912338
Khloe ,Twitter,30279252
KHANDESHI MOVIES,Youtube,32000000
Khaby Lame ,Instagram,78697857
Khabane lame ,Tiktok,139700000
Kevin Hart ,Instagram,151581146
Kevin Hart ,Tiktok,29100000
Kevin Hart ,Twitter,37470813
Kendall ,Twitter,32357505
Kendall ,Instagram,252632221
KEEMOKAZI ,Tiktok,27300000
KATY PERRY ,Instagram,169597869
KATY PERRY ,Twitter,108950737
Katy Perry,Youtube,43200000
Katrina Kaif ,Instagram,66186703
karolsevillaofc ,Tiktok,24400000
KAROL G ,Instagram,55413300
Karol G ,Tiktok,35000000
karljacobs ,Twitch,3469785
Karim Benzema ,Instagram,56760930
Kaka ,Twitter,29383091
Juventus ,Instagram,54472637
Justin Timberlake ,Instagram,65817755
Justin Timberlake ,Twitter,63088413
Justin Bieber ,Twitter,114165664
Justin Bieber ,Tiktok,24700000
Justin Bieber ,Instagram,253285832
Justin Bieber,Youtube,69700000
Junya,Tiktok,42500000
JuegaGerman,Youtube,46100000
juansguarnizo ,Twitch,2301844
Josh Richards ,Tiktok,25600000
JoJo Siwa ,Tiktok,41600000
Joe ,Tiktok,41000000
Joe Biden ,Twitter,34912026
JISOO,Instagram,62683010
Jingle Toons,Youtube,28600000
Jennifer Lopez ,Instagram,220169794
JeanCarlo Leon ,Tiktok,26300000
JD Pantoja ,Tiktok,28300000
JAY CROES,Tiktok,24000000
Jason Derulo ,Tiktok,52400000
James Charles ,Tiktok,36200000
Jahrein ,Twitch,1674112
JaggerPrincesa ,Twitch,1346284
Jacqueline Fernandez ,Instagram,62637438
Jacob Sartorius ,Tiktok,23700000
jacksepticeye ,Twitch,2799824
jacksepticeye,Youtube,28600000
J ,Instagram,68733032
J Balvin ,Instagram,52776655
IzakOOO ,Twitch,1721229
itsHafu ,Twitch,1279972
ironmouse ,Twitch,1294829
Instagram ,Twitter,33915351
Instagram ,Instagram,539446645
Infobells  Hindi,Youtube,45500000
IndiaTV,Youtube,31900000
Ignacia Antonia,Tiktok,28100000
IamCristinini ,Twitch,3060175
HYBE LABELS,Youtube,67800000
Huddy ,Tiktok,32200000
Hrithik Roshan ,Twitter,31886135
Hillary Clinton ,Twitter,31615951
HasanAbi ,Twitch,1630378
Harry Styles ,Twitter,38100188
Greekgodx ,Twitch,1358155
GR6 EXPLODE,Youtube,37600000
Gotaga ,Twitch,3670790
Gordon Ramsay ,Tiktok,32400000
Google ,Twitter,26422157
Goldmines,Youtube,73900000
Gigi Hadid ,Instagram,75207736
Get Movies,Youtube,41300000
GeorgeNotFound ,Twitch,4829346
GENIAL,Youtube,31400000
Gemita ,Twitch,1578033
Gaules ,Twitch,3594823
Galinha Pintadinha,Youtube,30800000
Gal Gadot ,Instagram,85305143
Fresh,Twitch,4476022
Fox News ,Twitter,22215023
forsen ,Twitch,1414311
FolagorLives ,Twitch,1450178
flighthouse ,Tiktok,28300000
Fernanfloo,Youtube,45100000
Fernanda,Tiktok,28400000
Felipe Neto,Youtube,44300000
FC Barcelona ,Twitter,43089932
FC Barcelona ,Instagram,111257233
Falloneth ,Twitter,51337983
Faker ,Twitch,3849438
Evelone192,Twitch,2202177
ESPN ,Tiktok,24000000
ESPN ,Twitter,41229434
ESL CSGO ,Twitch,5526988
Era Ays ,Tiktok,25900000
Emma Watson ,Instagram,67296368
Emma Watson ,Twitter,28658991
EminemMusic,Youtube,53000000
EmadGG ,Twitch,1463690
ElSpreen ,Twitch,4683364
elrubiusOMG,Youtube,40400000
Elraenn ,Twitch,3407910
Elon Musk ,Twitter,102819963
Ellen DeGeneres ,Twitter,77430041
Ellen DeGeneres ,Instagram,124943799
Ed Sheeran,Youtube,52200000
Dwayne Johnson ,Instagram,333221596
Dude Perfect,Youtube,58100000
DUA LIPA ,Instagram,85756579
Drizzy ,Twitter,39703326
Dream,Twitch,6047516
Dream,Youtube,29900000
DonaldDucc ,Tiktok,24600000
Dominik ,Tiktok,53500000
Domingo ,Twitch,1453278
Doja Cat ,Tiktok,24800000
dixie ,Tiktok,57400000
disha patani (paatni) ,Instagram,52855261
DisguisedToast,Twitch,1849885
Dina ,Tiktok,24700000
Demi Lovato ,Twitter,54190632
Demi Lovato ,Instagram,138781881
Deepika Padukone ,Instagram,68295084
Deepika Padukone ,Twitter,27438545
DAVID DOBRIK ,Tiktok,26000000
David Beckham ,Instagram,74912255
DanTDM ,Twitch,1666421
Daniel LaBelle ,Tiktok,26100000
Daddy Yankee,Youtube,36800000
D A R I A NR O J A S ,Tiktok,29500000
cznburak ,Tiktok,58800000
CVS 3D Rhymes and Kids Songs,Youtube,30500000
Cristiano Ronaldo ,Twitter,102672739
Cristiano Ronaldo ,Instagram,473864939
coscu ,Twitch,3577250
Corpse Husband,Twitch,1334278
Conan OBrien ,Twitter,28581073
Colors TV,Youtube,55100000
Coldplay ,Twitter,23602810
Cocomelon  Nursery Rhymes,Youtube,140000000
CNN Breaking News ,Twitter,63606552
Clix ,Twitch,3548355
ChuChu TV Nursery Rhymes and Kids Songs,Youtube,57700000
Christoph ,Tiktok,23700000
Chris Hemsworth ,Instagram,55866652
Chris Brown ,Twitter,32198251
Chelsea FC ,Twitter,21692707
charli D amelio ,Tiktok,141200000
champagnepapi ,Instagram,119117889
Celina Myers ,Tiktok,25500000
CarryMinati,Youtube,36200000
Carlos Feria ,Tiktok,39000000
CaptainSparklez ,Twitch,2040771
CaptainPuffy ,Twitch,1559591
Canal KondZilla,Youtube,65900000
Camilo ,Tiktok,27800000
camila ,Instagram,64887038
buster ,Twitch,3125548
Bugha ,Twitch,5084551
BTS official ,Twitter,40593716
BTS ,Tiktok,50400000
BTS official ,Instagram,66769961
Bruno Mars ,Twitter,43294761
Britney Spears ,Twitter,55869666
BRIGHT SIDE,Youtube,43900000
BRIANDA ,Tiktok,31300000
Brent Rivera ,Tiktok,43500000
BREEZY ,Instagram,117994690
bratishkinoff ,Twitch,1289722
blackpinkofficial ,Tiktok,29400000
BLACKPINK,Youtube,76100000
biyin  ,Twitch,2720743
BillionSurpriseToys  English Kids Songs and Cartoon,Youtube,28500000
BILLIE EILISH ,Instagram,105134435
Bill Gates ,Twitter,60153943
BIGHIT MUSIC ,Twitter,26166689
BeyoncE ,Instagram,272211534
Benji Krol ,Tiktok,30900000
Bella Poarch ,Tiktok,89900000
Bella ,Instagram,54034924
BBC News (World) ,Twitter,37706985
BBC Breaking News ,Twitter,50664033
Barbie ,Instagram,201394982
Barack Obama ,Twitter,132473746
BANGTANTV,Youtube,69900000
badgalriri ,Instagram,135053892
Badabun,Youtube,45600000
BabyBus  Kids Songs and Cartoons,Youtube,29200000
BabyAriel ,Tiktok,35700000
Ayu Tingting ,Instagram,52386780
aXoZer ,Twitch,2438304
avani ,Tiktok,41300000
auronplay ,Twitch,13377575
AuronPlay,Youtube,29200000
Asmongold ,Twitch,3267875
ashish chanchlani vines,Youtube,28600000
Arvind Kejriwal ,Twitter,26014305
aroyitt ,Twitch,1773486
Arishfa Khan,Tiktok,28700000
arianagrande ,Tiktok,27300000
Ariana Grande ,Instagram,326473270
Ariana Grande,Youtube,51600000
AnushkaSharma1588 ,Instagram,59477707
Anushka Sharma ,Twitter,23161825
Anitta ,Instagram,63122857
Andres Iniesta ,Twitter,25484080
Amouranth ,Twitch,3151328
Amitabh Bachchan ,Twitter,47764001
Amit Shah ,Twitter,30381411
Alinity ,Twitch,1478896
Alicia Keys ,Twitter,30110837
Alia Bhatt ,Twitter,21562782
Alia Bhatt ,Instagram,68517743
Alexby11 ,Twitch,3146988
alanzoka ,Twitch,5843207
Alan Walker,Youtube,42200000
Akshay Kumar ,Instagram,62777257
Akshay Kumar ,Twitter,45132749
adrilatinatv ,Tiktok,25000000
AdinRoss ,Twitch,5873745
Adele ,Twitter,27647371
Addison Rae ,Tiktok,87700000
ABSCBN Entertainment,Youtube,40500000
ABP NEWS,Youtube,33200000
Aaj Tak,Youtube,52800000
A4,Youtube,41200000
ARRahman ,Twitter,24192262
9GAG Go Fun The World ,Instagram,58125945
5Minute Crafts,Youtube,77100000
